AS18153,MULTIDATA-ID-AP PT Multidata Rancana Prima,0.00,0.00,305,
AS18156,BITNET-ID-AP BITNET ISP AS,0.00,0.00,464,
AS18365,GRAMEDIA-ID GRAMEDIA, PT.,0.00,0.00,738,
AS18379,CSMNAP-AS-AP CSMNAP-ASN,,,9,
AS18379,CSMNAP-AS-AP CSMNAP-ASN,0.00,0.00,9,
AS18393,JAVA-AS-AP Java Online, PT.,0.74,0.74,136,
AS18394,UPI-AS-ID Universitas Pendidikan Indonesia,0.00,0.00,1720,
AS18705,RIMBLACKBERRY - BlackBerry Limited,,,1,
AS18705,RIMBLACKBERRY - BlackBerry Limited,0.00,0.00,1,
AS22363,PHMGMT-AS1 - Powerhouse Management, Inc.,0.00,0.00,144,
AS23651,IDNIC-AS-ID Indonesia Network Information Center,,,1,
AS23651,IDNIC-AS-ID Indonesia Network Information Center,0.00,0.00,1,
AS23666,SISTELINDO-AS-ID PT Sistelindo Mitralintas,0.00,0.00,491,
AS23671,JMN-AS-ID Jogja Medianet,0.00,0.00,3474,
AS23679,NUSANET-AS-ID Media Antar Nusa PT.,0.01,0.01,39201,
AS23691,MITRA-NET-AS-AP PT Multi Teknologi Sejahtra,0.00,0.00,95,
AS23693,TELKOMSEL-ASN-ID PT. Telekomunikasi Selular,0.02,0.00,1110145,
AS23694,IDNIC-ICONMEDIANETWORK-AS-ID PT Iconmedia Lintas Nusantara,0.00,0.00,247,
AS23695,ELGANET-AS-ID ELGANET-ASN PT. Elga Yasa Media Internet Service,0.00,0.00,154,
AS23696,FIRSTASIANET-AS-ID PT Asia Utama.,0.00,0.00,98,
AS23698,VIPNET-AS-ID VIP.NET - Internet Service Provider,,,9,
AS23698,VIPNET-AS-ID VIP.NET - Internet Service Provider,0.00,0.00,9,
AS23699,EZNET-AS-ID IP Teknologi Komunikasi, PT.,0.00,0.00,1468,
AS23700,FASTNET-AS-ID Linknet-Fastnet ASN,0.00,0.00,1033897,
AS23756,PADINET-AS-ID PADINET - Padi Internet,0.00,0.00,2050,
AS23946,TOPNET-AS-ID PT Dunia Informasi Teknologi (TOPNET),,,10,
AS23946,TOPNET-AS-ID PT Dunia Informasi Teknologi (TOPNET),0.00,0.00,10,
AS23947,MORATELINDONAP-AS-ID PT.Mora Telematika Indonesia,0.00,0.00,23624,
AS23949,COMNET-AS-ID PT Comtronics Systems,0.00,0.00,2200,
AS23950,IDNIC-ID Indonesia Network Information Center,0.00,0.00,290,
AS23951,CITRA-AS-ID PT JEMBATAN CITRA NUSANTARA,0.15,0.15,10934,
AS23952,THAMRINNET-ISP-ID Internet Service provider PT.,,,1,
AS23952,THAMRINNET-ISP-ID Internet Service provider PT.,0.00,0.00,1,
AS23953,SCBDNET-AS-ID PT ARTHA TELEKOMINDO,0.06,0.04,5118,
AS24057,AIGL-AS-AP PT. AIA FINANCIAL, Insurance company, Indonesia,0.00,0.00,130,
AS24195,DHECYBER-AS-ID Dhecyber Flow Indonesia, PT,0.00,0.00,192,
AS24197,BIGNET-AS-ID Elka Prakarsa Utama, PT,0.00,0.00,138,
AS24199,DNK-AS-ID Dini Nusa Kusuma, P.T.,,,3,
AS24199,DNK-AS-ID Dini Nusa Kusuma, P.T.,0.00,0.00,3,
AS24200,CAKRAMEDIA-AS-ID PT. Cakramedia Indocyber,0.00,0.00,842,
AS24201,ANDALASMEDIA-AS-ID PT. Andalas Media Informatika,0.00,0.00,854,
AS24202,PAKTELNET-AS-ID PT. PASIFIKTEL INDOTAMA,0.00,0.00,61,
